	ParyantarDasha: Ketu - (2012-09-29 10:26:36.45) to (2012-10-21 19:20:55.35) (22 days) Age[(21year 0month 13days)] iid=137, open=False
	ParyantarDasha: Venus - (2012-10-21 19:20:55.35) to (2012-12-24 17:21:49.35) (63 days) Age[(21year 2month 16days)] iid=138, open=False
	ParyantarDasha: Sun - (2012-12-24 17:21:49.35) to (2013-01-12 21:34:05.55) (19 days) Age[(21year 3month 4days)] iid=139, open=False
	ParyantarDasha: Moon - (2013-01-12 21:34:05.55) to (2013-02-13 20:34:32.55) (31 days) Age[(21year 4month 5days)] iid=140, open=False
Dasha: Jupiter - (2013-02-13 20:34:32.55) to (2029-02-13 17:22:32.55) (5843 days) Age[(37year 4month 5days)] iid=141, open=False
  AntarDasha: Jupiter - (2013-02-13 20:34:32.55) to (2015-04-04 00:56:56.55) (779 days) Age[(23year 5month 26days)] iid=142, open=False
	ParyantarDasha: Jupiter - (2013-02-13 20:34:32.55) to (2013-05-28 17:57:31.75) (103 days) Age[(21year 7month 20days)] iid=143, open=False
	ParyantarDasha: Saturn - (2013-05-28 17:57:31.75) to (2013-09-29 02:51:04.55) (123 days) Age[(21year 11month 20days)] iid=144, open=False
	ParyantarDasha: Mercury - (2013-09-29 02:51:04.55) to (2014-01-17 12:04:14.95) (110 days) Age[(22year 3month 8days)] iid=145, open=False
	ParyantarDasha: Ketu - (2014-01-17 12:04:14.95) to (2014-03-03 22:55:33.35) (45 days) Age[(22year 4month 23days)] iid=146, open=False
	ParyantarDasha: Venus - (2014-03-03 22:55:33.35) to (2014-07-11 19:39:17.35) (129 days) Age[(22year 9month 3days)] iid=147, open=False
	ParyantarDasha: Sun - (2014-07-11 19:39:17.35) to (2014-08-19 18:40:24.55) (38 days) Age[(22year 10month 11days)] iid=148, open=False
	ParyantarDasha: Moon - (2014-08-19 18:40:24.55) to (2014-10-23 17:02:16.55) (64 days) Age[(23year 0month 15days)] iid=149, open=False
	ParyantarDasha: Mars - (2014-10-23 17:02:16.55) to (2014-12-08 03:53:34.95) (45 days) Age[(23year 1month 29days)] iid=150, open=False
	ParyantarDasha: Rahu - (2014-12-08 03:53:34.95) to (2015-04-04 00:56:56.55) (116 days) Age[(23year 5month 26days)] iid=151, open=False
  AntarDasha: Saturn - (2015-04-04 00:56:56.55) to (2017-10-15 07:38:32.55) (925 days) Age[(26year 0month 6days)] iid=152, open=False
	ParyantarDasha: Saturn - (2015-04-04 00:56:56.55) to (2015-08-28 13:00:31.75) (146 days) Age[(23year 10month 19days)] iid=153, open=False
	ParyantarDasha: Mercury - (2015-08-28 13:00:31.75) to (2016-01-06 14:57:25.35) (131 days) Age[(24year 2month 29days)] iid=154, open=False
	ParyantarDasha: Ketu - (2016-01-06 14:57:25.35) to (2016-02-29 14:20:50.95) (53 days) Age[(24year 4month 20days)] iid=155, open=False
	ParyantarDasha: Venus - (2016-02-29 14:20:50.95) to (2016-08-01 19:27:46.95) (154 days) Age[(24year 9month 24days)] iid=156, open=False
	ParyantarDasha: Sun - (2016-08-01 19:27:46.95) to (2016-09-17 01:47:51.75) (46 days) Age[(24year 11month 8days)] iid=157, open=False
	ParyantarDasha: Moon - (2016-09-17 01:47:51.75) to (2016-12-03 04:21:19.75) (77 days) Age[(25year 1month 24days)] iid=158, open=False
	ParyantarDasha: Mars - (2016-12-03 04:21:19.75) to (2017-01-26 03:44:45.35) (53 days) Age[(25year 3month 17days)] iid=159, open=False
	ParyantarDasha: Rahu - (2017-01-26 03:44:45.35) to (2017-06-13 22:44:59.75) (138 days) Age[(25year 8month 5days)] iid=160, open=False
	ParyantarDasha: Jupiter - (2017-06-13 22:44:59.75) to (2017-10-15 07:38:32.55) (123 days) Age[(26year 0month 6days)] iid=161, open=False
  AntarDasha: Mercury - (2017-10-15 07:38:32.55) to (2020-01-21 04:47:20.55) (827 days) Age[(28year 3month 12days)] iid=162, open=False
	ParyantarDasha: Mercury - (2017-10-15 07:38:32.55) to (2018-02-09 14:26:17.35) (117 days) Age[(26year 4month 0days)] iid=163, open=False
	ParyantarDasha: Ketu - (2018-02-09 14:26:17.35) to (2018-03-29 21:28:18.15) (48 days) Age[(26year 5month 21days)] iid=164, open=False
	ParyantarDasha: Venus - (2018-03-29 21:28:18.15) to (2018-08-14 20:59:46.15) (137 days) Age[(26year 10month 6days)] iid=165, open=False
	ParyantarDasha: Sun - (2018-08-14 20:59:46.15) to (2018-09-25 06:27:12.55) (41 days) Age[(26year 11month 16days)] iid=166, open=False
	ParyantarDasha: Moon - (2018-09-25 06:27:12.55) to (2018-12-03 06:12:56.55) (68 days) Age[(27year 1month 24days)] iid=167, open=False
	ParyantarDasha: Mars - (2018-12-03 06:12:56.55) to (2019-01-20 13:14:57.35) (48 days) Age[(27year 3month 11days)] iid=168, open=False
	ParyantarDasha: Rahu - (2019-01-20 13:14:57.35) to (2019-05-24 17:37:16.55) (124 days) Age[(27year 7month 16days)] iid=169, open=False
	ParyantarDasha: Jupiter - (2019-05-24 17:37:16.55) to (2019-09-12 02:50:26.95) (110 days) Age[(27year 11month 3days)] iid=170, open=False
	ParyantarDasha: Saturn - (2019-09-12 02:50:26.95) to (2020-01-21 04:47:20.55) (131 days) Age[(28year 3month 12days)] iid=171, open=False
  AntarDasha: Ketu - (2020-01-21 04:47:20.55) to (2020-12-27 02:12:08.55) (340 days) Age[(29year 2month 18days)] iid=172, open=False
	ParyantarDasha: Ketu - (2020-01-21 04:47:20.55) to (2020-02-10 02:02:17.35) (19 days) Age[(28year 4month 1days)] iid=173, open=False
	ParyantarDasha: Venus - (2020-02-10 02:02:17.35) to (2020-04-06 21:36:25.35) (56 days) Age[(28year 5month 29days)] iid=174, open=False
	ParyantarDasha: Sun - (2020-04-06 21:36:25.35) to (2020-04-23 22:40:39.75) (17 days) Age[(28year 6month 15days)] iid=175, open=False
	ParyantarDasha: Moon - (2020-04-23 22:40:39.75) to (2020-05-22 08:27:43.75) (28 days) Age[(28year 7month 13days)] iid=176, open=False
	ParyantarDasha: Mars - (2020-05-22 08:27:43.75) to (2020-06-11 05:42:40.55) (19 days) Age[(28year 8month 2days)] iid=177, open=False
	ParyantarDasha: Rahu - (2020-06-11 05:42:40.55) to (2020-08-01 08:55:23.75) (51 days) Age[(28year 9month 23days)] iid=178, open=False
	ParyantarDasha: Jupiter - (2020-08-01 08:55:23.75) to (2020-09-15 19:46:42.15) (45 days) Age[(28year 11month 7days)] iid=179, open=False
	ParyantarDasha: Saturn - (2020-09-15 19:46:42.15) to (2020-11-08 19:10:07.75) (53 days) Age[(29year 1month 0days)] iid=180, open=False
	ParyantarDasha: Mercury - (2020-11-08 19:10:07.75) to (2020-12-27 02:12:08.55) (48 days) Age[(29year 2month 18days)] iid=181, open=False
  AntarDasha: Venus - (2020-12-27 02:12:08.55) to (2023-08-28 01:40:08.55) (973 days) Age[(31year 10month 19days)] iid=182, open=False
	ParyantarDasha: Venus - (2020-12-27 02:12:08.55) to (2021-06-07 10:06:48.55) (162 days) Age[(29year 7month 29days)] iid=183, open=False
	ParyantarDasha: Sun - (2021-06-07 10:06:48.55) to (2021-07-26 02:53:12.55) (48 days) Age[(29year 9month 17days)] iid=184, open=False
